"","klasifikasi","score","text"
"68","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"69","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"70","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"71","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"72","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"73","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"74","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"75","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"76","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"77","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"78","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"79","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"80","Negatif",-1,"ada yg bsa tugas mene keuangan strategi engga ya disuruh lengkapin lembar saham tarif pajak sama laba bersih tot "
"81","Netral",0,"besok pagi aku ke daerah pajak melati pingin ml ada yg mau kalo bisa yg ada tempat ya gk berani di hotel "
"82","Netral",0," ckckck aku yang tiap hari megang beginian wae mikir minta mahar sertipikat bayar pajak jual beli "
"83","Positif",1," kita akan melihat pemandangan kek gini harihari ke depan di semua daerah ketika safari keliling indonesia bahkan keliling du"
"84","Positif",1," memang benar apa yang dikatakan bapak ini sebenarnya tidak ada subsidi selama ini karena pajak yang rakyat bayarkan l"
"85","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"86","Positif",1," indonesia diurus pemimpin rakus pajak entah kemana pendapat daerah lebih bnyk ke pusat  dari dulu   dah mending jua"
"87","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"88","Positif",1," indonesia diurus pemimpin rakus pajak entah kemana pendapat daerah lebih bnyk ke pusat  dari dulu   dah mending jua"
"89","Negatif",-2," apakah wajib pakai konsultan pajak yg punya ijin praktek terdaftar resmi di kemenkeu jawabannya tidak jika hanya"
"90","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"91","Netral",0,"  pakde jokowi akan terus nyaman berada di sana wapres dan panglima andhika juga akan nyaman tidak tersentuh di atas s"
"92","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"93","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"94","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"95","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"96","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"97","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"98","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"99","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"100","Negatif",-1," orang seluruh dunia tahu soal nikel kita investornya china penambangnya china teknologinya china pemrosesnya china"
"101","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"102","Negatif",-1," di sini semua terkait dengan data pajak dan bank aliran duit dalam household jelas jadi tunjangan dari pemerintah juga j"
"103","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"104","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"105","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"106","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"107","Positif",1,"open joki tugas pajak akuntansi manajemen analisis kasus administrasi politik komunikasi sosial ekonomi bi "
"108","Positif",1,"open joki tugas pajak akuntansi manajemen analisis kasus administrasi politik komunikasi sosial ekonomi bi "
"109","Negatif",-1," plus pajak per orang koyok e meh  an"
"110","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"111","Negatif",-1," wuihhebat ya gaes habis berapa kira biaya yg dikeluarkan kas negara untuk pengamanan acara ini ya bersyukurlah pak presi"
"112","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"113","Negatif",-1,"yang kaya kadang nakal ngakalin pajak tapi pingin harta terus bertambah  bertemu oknum petugas nakal klop "
"114","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"115","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"116","Negatif",-1,"partaipartai oposisi mempertanyakan kenapa ramaphosa memiliki begitu banyak uang tunai di rumahnya mereka menanya "
"117","Positif",1,"   hahaha ada benernya tapi data pelaporan ke kantor pajak kan rahasia ant "
"118","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"119","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"120","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"121","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"122","Positif",2," mohon ijin om admin    srpint  bpkb merah plat ab surat komplit pajak hidup tertib noka nosin akur no rengkes ak"
"123","Negatif",-1," vbb  surat lengkap pajak onjt sajawa     jualvespa  vespamurah jualvespavbb "
"124","Negatif",-1,"partaipartai oposisi mempertanyakan kenapa ramaphosa memiliki begitu banyak uang tunai di rumahnya mereka menanya "
"125","Netral",0," trueee indo pasar yg sangat menjanjikan tapi sama jepang gak dilirik mana pajak merch jejepangan mahal "
"126","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"127","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"128","Negatif",-2," ya allah sistem pemerintahan kapitalis ini dapet gaji aja belum udah ditagih pajak aja"
"129","Positif",1," syapa yg gak mau murah kredit bebas pajak"
"130","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"131","Netral",0," relatif sih min profesi apapun attitude dan moral yg utama coba aja survey kasus pajak yg meliba "
"132","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"133","Negatif",-1,"open jastip kwangya store jakarta  minggu  dec   tergantung barang ya exc pajak packing amp  shipping "
"134","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"135","Netral",0," an beli langsung nderr udah termasuk pajak "
"136","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"137","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"138","Netral",0,"help and like  open jastip kwangya jakarta  fee k tergantung item  co  go line link di bio exc "
"139","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"140","Negatif",-2," smua bs seiring brjalannya waktu dan bs apal di luar kepala klo uda brkali ngejalanin  km kan jd admin "
"141","Positif",1," pemerintah digaji pajak rakyat kerjaannya didelegasikan kembali ke rakyat percuma bayar pajak"
"142","Negatif",-1,"    duit pajak kita rugi buat gaji org kayak gini kok bisa jd stafsus"
"143","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"144","Negatif",-1,"  harga eribong di kwangya store jkt udh sama pajak jadi segini guys  "
"145","Positif",1,"open joki tugas pajak akuntansi manajemen analisis kasus administrasi politik komunikasi sosial ekonomi bi "
"146","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"147","Positif",1," indonesia diurus pemimpin rakus pajak entah kemana pendapat daerah lebih bnyk ke pusat  dari dulu   dah mending jua"
"148","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"149","Netral",0," mohon info halte terdekat dengan kantor dirjen pajak pusat di jl gatot subroto tku"
"150","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"151","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"152","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"153","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"154","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"155","Negatif",-2," apakah wajib pakai konsultan pajak yg punya ijin praktek terdaftar resmi di kemenkeu jawabannya tidak jika hanya"
"156","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"157","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"158","Netral",0,"lahirnya regulasi yang mengatur pajak daerah membuka ruang pemerintah daerah untuk memaksimalkan potensi perpajakan "
"159","Positif",1,"pemerintah digaji pajak rakyat kerjaannya didelegasikan kembali ke rakyat percuma bayar pajak "
"160","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"161","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"162","Negatif",-2,"fungsi sederhana pajak adalah membatasi kepemilikan mereka yang kuat dan memberi perlindungan kepada mereka yang se "
"163","Negatif",-2," padahal negara ada karena ada rakyat uuntuk rakyat kenapa kok pemerintah sampek sekarang belum "
"164","Netral",0,"  ada dong kantor pajak"
"165","Negatif",-3,"sejak tahun an pajak telah menjadi potensi penerimaan negara yang sangat meyakinkan dan menjadi sentral kehid "
"166","Negatif",-2,"jika cinta diwajibkan membayar pajak mungkin aku akan jadi pembayar pajak paling tinggi soalnya cintaku padamu besar sekali"
"167","Negatif",-1," bayar pajak dan cicilan"
"168","Netral",0," nah makanya ini aku dapet fotonya juga dr grup kasian yg kesana bawa uangnya ngepas atau rencana mau bel "
"169","Positif",2,"dgn digital rupiah literally kita gak lagi gunakan uang fisik  kita simpan uang dlm format ecertififate atau dig "
"170","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"171","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"172","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"173","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"174","Negatif",-1,"  kaya lu faham aja nempatin lahan bisa  taon keringanan pajak  aja bakal bingung "
"175","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"176","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"177","Negatif",-1," ini kasian banget mba kasirnya pure error kayaknya karena  kmrn tulisannya ada sebelum pajak di "
"178","Negatif",-1," katanya pajak di bebaskan  thn dan giliran rakyat tidak bisa beli listrik lansung di cabut"
"179","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"180","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"181","Netral",0," aku rasa pajak yg dibayar pak bewok dgn angka yg fantastis itu sudah cukup menggambarkan siapa pak "
"182","Negatif",-1,"abis nganterin donasi ke temen gw adek gw minta pajak jalan nya ga ngira njirr abis beli kopte skrng beli kabobs "
"183","Negatif",-2," oh harganya udh sama pajak skrng ya"
"184","Negatif",-1," dulu baik itu portugis inggrisbelandaspanyol harus  ber darah saat akan menguasai tanah  kini cukup dengan investa"
"185","Negatif",-1," wuihhebat ya gaes habis berapa kira biaya yg dikeluarkan kas negara untuk pengamanan acara ini ya bersyukurlah pak presi"
"186","Negatif",-2,"tolong y kwangya yg dipajang tuh udh hargapajak gt ngeri kegocek wqwq"
"187","Negatif",-1," di ranah sim ab amp  c masih banyak anggota yg nyambi jadi calo kasih rb maka perpanjangan sim ak "
"188","Negatif",-1,"  taikselalu udah berbuat apa dia kan wajib pajakkagak perlu lu tanyain begoyg perlu "
"189","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"190","Netral",0,"selanjutnya jay juga menambahkan bri dapat menjalankan bisnisnya sebagai commercial bank dengan membukukan laba rp "
"191","Negatif",-1," bukan bukan kemarin ada yg beli udh bayar tp di strucknya gak pake pajak iri banget "
"192","Netral",0," gak ada yang ngasih tau gua kalo tumbuh dewasa itu bayar pajak"
"193","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"194","Positif",1," indonesia diurus pemimpin rakus pajak entah kemana pendapat daerah lebih bnyk ke pusat  dari dulu   dah mending jua"
"195","Negatif",-1," orang seluruh dunia tahu soal nikel kita investornya china penambangnya china teknologinya china pemrosesnya china"
"196","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"197","Netral",0," btoii bang baru tringat kes nii musibat nii gila sbb kbnyakkn pajak wktu tunku abdul rahman dh naik habis ada yg dh habis"
"198","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"199","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"200","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"201","Negatif",-1," orang seluruh dunia tahu soal nikel kita investornya china penambangnya china teknologinya china pemrosesnya china"
"202","Negatif",-3," perkenankan tanah untuk pertanian dlm rancangan struktur negeri dan jgn benarkan pertukaran tanah sew "
"203","Positif",1,"astaga bisanya baru keingat uda  minggu telat bayar pajak motor"
"204","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"205","Netral",0,"  itu tanpa pajak kak bener kok pakai pajak "
"206","Netral",0," pemerintah  mengantongi penerimaan sebesar rp  m dari pajak kripto dan fintechpp lending atau pinjol sepanjang ju"
"207","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
"208","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"209","Netral",0," eh kemaren ada yg beli ls harganya masih  gak pake pajak"
"210","Negatif",-2,"pemprov sumbar gelar rakor dengan stakeholder bahas penerimaan pajak bahan bakar ranmor "
"211","Netral",0," hukum acara peradilan pajak merupakan bentuk jaminan hak bagi wp dan fiskus untuk menyelesaikan sengketa pajak yang dihada"
"212","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"213","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"214","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"215","Negatif",-1," orang seluruh dunia tahu soal nikel kita investornya china penambangnya china teknologinya china pemrosesnya china"
"216","Positif",1," kita akan melihat pemandangan kek gini harihari ke depan di semua daerah ketika safari keliling indonesia bahkan keliling du"
"217","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"218","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"219","Netral",0,"hukum acara peradilan pajak merupakan bentuk jaminan hak bagi wp dan fiskus untuk menyelesaikan sengketa pajak yang "
"220","Negatif",-1," orang seluruh dunia tahu soal nikel kita investornya china penambangnya china teknologinya china pemrosesnya china"
"221","Positif",3," terlalu enak hidup mereka menggantungkan segala kebutuhan hidup dr pajak yang dibayarkan masyaraka "
"222","Negatif",-1," orang seluruh dunia tahu soal nikel kita investornya china penambangnya china teknologinya china pemrosesnya china"
"223","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"224","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"225","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"226","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"227","Positif",1," memang benar apa yang dikatakan bapak ini sebenarnya tidak ada subsidi selama ini karena pajak yang rakyat bayarkan l"
"228","Negatif",-1," orang seluruh dunia tahu soal nikel kita investornya china penambangnya china teknologinya china pemrosesnya china"
"229","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"230","Negatif",-2," lha gimana gak miskin ppn naik   pajak gaji naik  cicilan rumah naik bbm naik tol naik tiket pesawat termahal di"
"231","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"232","Netral",0," hong kong dikuasai kolonial inggris selama  tahun  dan baru kembali di pangkuan cina di  bayangin  nawa"
"233","Netral",0," dulu baik itu portugis spanyol inggris belanda hingga jepang harus berdarahdarah ketika akan menguasai tanah"
