"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"951","@TimiTomo3 Formulir pengaktifan kembali WP NE dapat diunduh pada laman:  https://t.co/y5rHZXfwrI

Daftar kontak KPP… https://t.co/ixUhxZ0qBl",FALSE,0,"kring_pajak",2022-12-08 08:24:09,TRUE,"1600767931490611202","1600768180070150144","4564565058","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"952","@doietyl atau badan yang bertempat tinggal atau berkedudukan di luar Daerah Pabean  yang menyerahkan BKP tidak berw… https://t.co/AfDWx7w0yq",FALSE,0,"kring_pajak",2022-12-08 08:24:00,TRUE,"1600767942022418433","1600768143118331904","4564565058","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"953","Wajib pajak mana suaranya?? https://t.co/vrriKm8ydb",FALSE,0,NA,2022-12-08 08:23:48,FALSE,NA,"1600768091775856640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","man_alts",0,FALSE,FALSE,NA,NA
"954","@sfdinana Hai, Kak. Silakan pastikan di monitoring SPT di webbased sudah tidak ada SPT Pembetulan yg dimaksud. Past… https://t.co/KbWFyxnNf2",FALSE,0,"sfdinana",2022-12-08 08:23:47,TRUE,"1600692092891955201","1600768088890171392","85028074","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"955","@doietyl Hai, Kak.
Apakah jasa yg Kakak maksud masih terkait dg pernyataan sebelumnya, yaitu terkait pemanfaatan ja… https://t.co/ew7PIyXdXu",FALSE,0,"doietyl",2022-12-08 08:23:12,TRUE,"1600744799833063424","1600767942022418433","810274381","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"956","@TimiTomo3 Selain itu, permohonan pengaktifan kembali WP NE juga dapat diajukan secara langsung atau via pos/jasa e… https://t.co/pGj9l16LKB",FALSE,0,"kring_pajak",2022-12-08 08:23:10,TRUE,"1600767827048157184","1600767931490611202","4564565058","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"957","@andikadwipurno1 Hai, Kak.
Sepanjang Kakak memenuhi kriteria Penetapan Wajib Pajak Non-Efektif (WP NE) sesuai Pasal… https://t.co/WZTqhpjBU3",FALSE,0,"andikadwipurno1",2022-12-08 08:23:03,TRUE,"1600737478029168641","1600767903736901632","3487677500","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"958","@TimiTomo3 Permohonan pengaktifan kembali Wajib Pajak NE dapat dilakukan melalui telepon Kring Pajak 1500200 atau L… https://t.co/GzKwhMm0md",FALSE,0,"kring_pajak",2022-12-08 08:22:45,TRUE,"1600767659871596544","1600767827048157184","4564565058","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"959","@kring_pajak min jika kuota penuh spt ini bisa daftar mulai kapan lagi ya? https://t.co/CIpffE7pEG",FALSE,0,"kring_pajak",2022-12-08 08:22:06,FALSE,"1600763414661369856","1600767664535662592","4564565058","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","citylightwithu",0,FALSE,FALSE,NA,NA
"960","@TimiTomo3 Hai, Kak.
Apakah status NPWP Kakak Non Efektif (NE) ?
Jika iya, silakan melakukan pengaktifan kembali NP… https://t.co/r2XFPLIkeq",FALSE,0,"TimiTomo3",2022-12-08 08:22:05,TRUE,"1600727956959416320","1600767659871596544","1323966768390443008","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"961","RT @elangbintang14: Hong Kong dikuasai kolonial Inggris selama 99 tahun !! Dan baru kembali di pangkuan Cina di 1997. Bayangin @jokowi nawa…",FALSE,0,NA,2022-12-08 08:21:58,FALSE,NA,"1600767629152595968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abe_otomo",1347,TRUE,FALSE,NA,NA
"962","desember pengeluaran bengkak banget:""
bayar pajak motor, ngurus str k3, bayar ukt adek :)
semoga selalu dibanyakin rejekinyaa",FALSE,0,NA,2022-12-08 08:21:53,FALSE,NA,"1600767610073018368",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","moominjun_23",0,FALSE,FALSE,NA,NA
"963","Lupa kan bayar pajak motor🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️",FALSE,0,NA,2022-12-08 08:21:31,FALSE,NA,"1600767517693124609",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LeoRIhsani",0,FALSE,FALSE,NA,NA
"964","@kring_pajak Trima kasih min, sudah jadi🙏",FALSE,0,"kring_pajak",2022-12-08 08:21:28,FALSE,"1600765312558718977","1600767502459744257","4564565058","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","piersolissa",0,FALSE,FALSE,NA,NA
"965","Pemungut PPN PMSE Bertambah 3, Total Hingga November Hasilkan Rp 9,66 Triliun

Berita selengkapnya di… https://t.co/6c87yEen9R",FALSE,0,NA,2022-12-08 08:20:32,TRUE,NA,"1600767271181221888",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","consulting_sf",0,FALSE,FALSE,NA,NA
"966","@Anattesia Hai, Kak. Mohon maaf atas ketidaknyamanannya ya. Silakan melakukan langkah berikut: 
1.Clear cache &amp; coo… https://t.co/SIWMzuToR6",FALSE,0,"Anattesia",2022-12-08 08:20:11,TRUE,"1600678132176289800","1600767180014247936","53782419","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"967","Orang bijak taat pajak, orang jahat makan pajak. orang gila tak diajak #KataBajak",FALSE,0,NA,2022-12-08 08:19:36,FALSE,NA,"1600767036434829312",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","RofiPareno",0,FALSE,FALSE,NA,NA
"968","Pelayanan registrasi, identifikasi dan pembayaran pajak kendaraan/pengesahan STNK di kantor Samsat bersama Upt kota… https://t.co/Ed2gXF5rr4",FALSE,0,NA,2022-12-08 08:19:15,TRUE,NA,"1600766946101690368",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","lantasp_siantar",0,FALSE,FALSE,NA,NA
"969","@Chrstianaa Hai, Kak. Mohon maaf atas ketidaknyamanannya ya. Silakan melakukan langkah berikut: 
1.Clear cache &amp; co… https://t.co/QtwDlHswR1",FALSE,0,"Chrstianaa",2022-12-08 08:19:04,TRUE,"1600677295160954882","1600766901487284225","704001194","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"970","@FazhriennyaNtan @Riskiiseptian Hai, Kak. 
Saat ini masih belum ada informasi error atau maintenance. Mohon kesedia… https://t.co/gaeQJWio7N",FALSE,0,"FazhriennyaNtan",2022-12-08 08:18:31,TRUE,"1600755530212855809","1600766761216851968","96125712","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"971","RT @an_ti_ka_drun: Kadrun gk mau bayar pajak??

Jalan aspal dari rumah sepanjang sekolah anak anakmu, itu dibangun pake duit nenek elu?

Se…",FALSE,0,NA,2022-12-08 08:18:04,FALSE,NA,"1600766648008331265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","achzam_prabu",4,TRUE,FALSE,NA,NA
"972","@dyne95 Hai, Kak.
Apakah yang Kakak maksud STP atas PPN Dalam Negeri? Jika Kakak menerima STP PPN Dalam Negeri, mak… https://t.co/Ib42AYkxWz",FALSE,0,"dyne95",2022-12-08 08:17:20,TRUE,"1600750795791953920","1600766462624288768","1197654340728545280","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"973","RT @yeyowhyu: LIST MERCH KWANGYA

(mostly nct)
(harga sudah termasuk pajak) https://t.co/t8J6dxuuIW",FALSE,0,NA,2022-12-08 08:16:32,FALSE,NA,"1600766261738471424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jjiaryne",2904,TRUE,FALSE,NA,NA
"974","@VinGatraGumelar Dalam hal perubahan alamat masih dalam satu wilayah kerja KPP yang sama, Kakak dapat mengajukan pe… https://t.co/OUWhNnoXKh",FALSE,0,"kring_pajak",2022-12-08 08:16:17,TRUE,"1600766098898440192","1600766198970392576","4564565058","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"975","RT @yeyowhyu: LIST MERCH KWANGYA

(mostly nct)
(harga sudah termasuk pajak) https://t.co/t8J6dxuuIW",FALSE,0,NA,2022-12-08 08:16:17,FALSE,NA,"1600766198526115840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","myyedamee",2904,TRUE,FALSE,NA,NA
"976","@VinGatraGumelar Apabila perubahan alamat tersebut berpindah ke wilayah kerja KPP lain, silakan ajukan permohonan P… https://t.co/qLrDTLHHgs",FALSE,0,"kring_pajak",2022-12-08 08:15:53,TRUE,"1600765976642932737","1600766098898440192","4564565058","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"977","@surmghoon pajak ultah mana?",FALSE,0,"surmghoon",2022-12-08 08:15:53,FALSE,"1600756103280611328","1600766097305014272","628284420","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","soonyouag",0,FALSE,FALSE,NA,NA
"978","@VinGatraGumelar Hai, Kak.
Ganti NPWP ini apakah maksudnya ganti kartu fisik NPWP krn adanya perubahan alamat? Apak… https://t.co/aFqttl0yIg",FALSE,0,"VinGatraGumelar",2022-12-08 08:15:24,TRUE,"1600736516325920768","1600765976642932737","493878181","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"979","RT @yeyowhyu: LIST MERCH KWANGYA

(mostly nct)
(harga sudah termasuk pajak) https://t.co/t8J6dxuuIW",FALSE,0,NA,2022-12-08 08:15:19,FALSE,NA,"1600765957298737152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","813user",2904,TRUE,FALSE,NA,NA
"980","RT @yeyowhyu: LIST MERCH KWANGYA

(mostly nct)
(harga sudah termasuk pajak) https://t.co/t8J6dxuuIW",FALSE,0,NA,2022-12-08 08:15:16,FALSE,NA,"1600765945525346305",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jaeminlouver",2904,TRUE,FALSE,NA,NA
"981","RT @yeyowhyu: LIST MERCH KWANGYA

(mostly nct)
(harga sudah termasuk pajak) https://t.co/t8J6dxuuIW",FALSE,0,NA,2022-12-08 08:14:37,FALSE,NA,"1600765779003461632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","woozgains",2904,TRUE,FALSE,NA,NA
"982","@kring_pajak Transaksi sewa di Surabaya, Sidoarjo, gresik",FALSE,0,"kring_pajak",2022-12-08 08:14:36,FALSE,"1600739111777710080","1600765777166372864","4564565058","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ldy_hh",0,FALSE,FALSE,NA,NA
"983","@birujaksel Hai, Kak. Untuk berhak atau tidaknya dari DJP tidak mengatur mengenai hal tersebut. DJP hanya
yg mengat… https://t.co/vUIgBrpzbC",FALSE,0,"birujaksel",2022-12-08 08:14:19,TRUE,"1600693164733452288","1600765706731081728","953462588402118656","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"984","KEPUTUSAN MENTERI KEUANGAN REPUBLIK INDONESIA NOMOR 64/KM.10/2022 https://t.co/zhC5gvP31t",FALSE,0,NA,2022-12-08 08:14:10,FALSE,NA,"1600765667514400768",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>","bicara_pajak",0,FALSE,FALSE,NA,NA
"985","@lulaanana Hai, Kak.
Mohon maaf atas ketidaknyamanannya ya. Silakan melakukan langkah berikut:
1. Clear cache &amp; coo… https://t.co/AkTnxiOZHJ",FALSE,0,"lulaanana",2022-12-08 08:13:56,TRUE,"1600688664644059136","1600765610354360320","1155002803732922369","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"986","@ganjarpranowo @disnaker_jateng Ini di tempat kami pak..
Alhamdulillah, yg KTP Jateng pun bisa menikmati. https://t.co/d6HjRFe8t3",FALSE,6,"ganjarpranowo",2022-12-08 08:13:56,FALSE,"1600675574661668864","1600765606646583296","109762193","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","engineer_pajak",0,FALSE,FALSE,NA,NA
"987","Bayar pajak hari selasa kira kira rame ga ya
Kalo senin tuh rameeee",FALSE,0,NA,2022-12-08 08:13:34,FALSE,NA,"1600765514485141504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ijenowi",0,FALSE,FALSE,NA,NA
"988","RT @yeyowhyu: LIST MERCH KWANGYA

(mostly nct)
(harga sudah termasuk pajak) https://t.co/t8J6dxuuIW",FALSE,0,NA,2022-12-08 08:13:00,FALSE,NA,"1600765375016103936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marianafitriw_",2904,TRUE,FALSE,NA,NA
"989","@piersolissa Hai, Kak.
Mohon maaf atas ketidaknyamanannya ya. Silakan melakukan langkah berikut:
1. Clear cache &amp; c… https://t.co/nXMRSRdDGC",FALSE,0,"piersolissa",2022-12-08 08:12:45,TRUE,"1600688775323357184","1600765312558718977","1621422132","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"990","RT @an_ti_ka_drun: Kadrun gk mau bayar pajak??

Jalan aspal dari rumah sepanjang sekolah anak anakmu, itu dibangun pake duit nenek elu?

Se…",FALSE,0,NA,2022-12-08 08:12:42,FALSE,NA,"1600765297895833602",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Solid01",4,TRUE,FALSE,NA,NA
"991","Min @kring_pajak untuk mendapatkan nomor efin gimana?",FALSE,0,NA,2022-12-08 08:12:16,FALSE,NA,"1600765187065147397",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Heru69481991",0,FALSE,FALSE,NA,NA
"992","@ayyana0n Hai, Kak.
Mohon maaf atas ketidaknyamanannya ya. Silakan melakukan langkah berikut:
1. Clear cache &amp; cook… https://t.co/bmLY1E09XX",FALSE,0,"ayyana0n",2022-12-08 08:11:57,TRUE,"1600688911788826624","1600765110372270081","1589455162451857409","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"993","@RatnayantiAri Hai, Kak. Mohon maaf atas ketidaknyamanannya ya. Silakan melakukan langkah berikut: 
1.Clear cache &amp;… https://t.co/WFOu7durQK",FALSE,0,"RatnayantiAri",2022-12-08 08:11:41,TRUE,"1600683490429014017","1600765043985256449","1308700150076850176","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"994","@BernamaTV realiti skrg, gaji 2K sekali pun habis bayar kereta, rumah sewa, pengasuh anak, keperluan bulanan, dan d… https://t.co/00gZ9KMGxs",FALSE,5,"BernamaTV",2022-12-08 08:11:19,TRUE,"1600657906373779456","1600764949898620929","196460981","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","hzwnAA",0,FALSE,FALSE,NA,NA
"995","@CyndiLrensa Peraturan tersebut dapat dilihat pada laman berikut: https://t.co/sAIAuB9v5T

Untuk prosedurnya dapat… https://t.co/ePSViJFmdj",FALSE,0,"kring_pajak",2022-12-08 08:10:54,TRUE,"1600764659367190528","1600764844705140736","4564565058","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
